2026-04-08 00:41:45,956 | INFO | __main__ | Existing model results in outputs/models/: ['ENet+H', 'GLM+H', 'OLS-3', 'PCR', 'PLS']
2026-04-08 00:41:45,960 | INFO | __main__ | Pipeline complete.
2026-04-08 00:41:59,504 | INFO | __main__ | === Step 5: Initialising models ===
2026-04-08 00:41:59,505 | INFO | __main__ | Models: ['RF', 'GBRT+H']
2026-04-08 00:41:59,505 | INFO | __main__ | === Step 6: Running recursive backtest ===
2026-04-08 00:41:59,875 | INFO | src.backtest.engine | Test year 1987: train=69,200  val=2,400  test=2,400
2026-04-08 00:49:12,213 | INFO | __main__ | Loaded results for 5 models: ['ENet+H', 'GLM+H', 'OLS-3', 'PCR', 'PLS']
2026-04-08 00:49:13,850 | INFO | __main__ | 
============================================================
2026-04-08 00:49:13,850 | INFO | __main__ | OOS R² Table (%):
2026-04-08 00:49:13,851 | INFO | __main__ | 
ENet+H    0.099998
GLM+H     0.079200
OLS-3    -0.041298
PCR      -0.006520
PLS       0.007855
2026-04-08 00:49:13,851 | INFO | __main__ | 
H-L Sharpe Ratios:
2026-04-08 00:49:13,853 | INFO | __main__ | 
        H-L Sharpe
Model             
ENet+H    0.634961
GLM+H     0.629353
OLS-3     0.000223
PCR       0.354756
PLS       0.712215
2026-04-08 00:49:13,875 | INFO | __main__ | All outputs saved to outputs/
2026-04-08 00:49:13,876 | INFO | __main__ | Pipeline complete.
